timestamps,TP9,AF7,AF8,TP10,Right AUX
1763445347.535,-48.340,-4.395,-1.953,-2.441,0.000
1763445347.539,-82.031,0.488,1.465,-2.930,0.000
1763445347.543,-1.465,-3.906,-5.371,0.000,0.000
1763445347.547,34.668,-10.742,-6.348,9.766,0.000
1763445347.550,8.789,-4.883,-12.695,4.395,0.000
1763445347.554,11.230,-0.488,-16.113,-19.043,0.000
1763445347.558,-0.488,-4.883,-12.695,-26.367,0.000
1763445347.562,-6.348,-8.789,-16.602,-3.906,0.000
1763445347.566,-18.066,-8.301,-12.207,8.301,0.000
1763445347.570,-7.812,-4.395,0.977,2.441,0.000
1763445347.574,18.555,-11.719,6.348,7.324,0.000
1763445347.578,0.977,-17.578,-0.977,2.930,0.000
1763445347.582,-5.859,-15.625,-6.348,1.465,0.000
1763445347.586,6.348,-18.066,-3.418,-0.977,0.000
1763445347.589,3.906,-21.484,-2.441,-9.766,0.000
1763445347.593,-13.672,-16.602,-3.418,-3.906,0.000
1763445347.597,-33.691,-10.742,-12.695,-20.020,0.000
1763445347.601,-51.758,-5.371,-15.625,-29.297,0.000
1763445347.605,-32.715,-7.324,-11.230,-3.906,0.000
1763445347.609,-6.348,-7.812,-9.277,12.207,0.000
1763445347.613,1.953,-1.953,-13.184,-3.418,0.000
1763445347.617,26.855,-2.930,-24.414,-14.160,0.000
1763445347.621,4.883,-14.160,-27.832,-8.789,0.000
1763445347.625,-25.391,-21.973,-13.184,-13.672,0.000
1763445347.629,-6.348,-14.160,-6.348,-12.695,0.000
1763445347.632,-16.602,-12.695,-18.066,-0.977,0.000
1763445347.636,-25.391,-18.066,-22.949,-6.348,0.000
1763445347.640,-24.414,-16.602,-7.812,0.488,0.000
1763445347.644,-13.672,-17.090,-0.977,-8.301,0.000
1763445347.648,-19.531,-21.973,-9.277,-16.113,0.000
1763445347.652,-12.207,-21.484,-7.324,-0.488,0.000
1763445347.656,0.977,-15.137,-10.254,-7.812,0.000
1763445347.660,-43.457,-11.230,-21.973,-14.648,0.000
1763445347.664,-63.965,-15.625,-28.320,-10.742,0.000
1763445347.668,17.578,-17.578,-20.508,2.441,0.000
1763445347.671,58.105,-19.043,-13.184,-12.207,0.000
1763445347.675,35.645,-19.531,-14.648,-12.695,0.000
1763445347.679,1.465,-14.160,-29.785,5.371,0.000
1763445347.683,-10.742,-16.602,-27.832,-7.812,0.000
1763445347.687,-21.973,-19.043,0.977,-12.207,0.000
1763445347.691,-66.406,-18.555,12.207,-15.625,0.000
1763445347.695,-33.691,-20.996,5.371,-20.020,0.000
1763445347.699,11.230,-21.973,-1.465,-22.461,0.000
1763445347.703,32.227,-19.531,0.977,-16.602,0.000
1763445347.707,41.992,-23.438,-9.277,-9.277,0.000
1763445347.711,13.184,-24.902,-20.508,-15.137,0.000
1763445347.714,5.371,-15.137,-20.508,-3.906,0.000
1763445347.718,-7.324,-10.254,-17.578,-5.371,0.000
1763445347.722,-80.566,-11.719,-10.742,-11.230,0.000
1763445347.726,-90.332,-14.648,-9.766,-13.672,0.000
1763445347.730,-10.254,-15.137,-21.484,-10.254,0.000
1763445347.734,52.246,-6.348,-21.973,1.953,0.000
1763445347.738,43.945,-3.906,-14.160,-6.836,0.000
1763445347.742,18.555,-4.395,-12.207,-10.742,0.000
1763445347.746,-20.020,-10.742,-6.836,3.906,0.000
1763445347.750,-105.469,-20.996,-6.348,3.906,0.000
1763445347.753,-88.379,-20.508,-13.184,-4.883,0.000
1763445347.757,21.973,-15.137,-9.277,-11.719,0.000
1763445347.761,58.105,-9.766,-2.930,-4.883,0.000
1763445347.765,42.480,-6.348,-5.859,5.859,0.000
1763445347.769,49.805,-6.348,-7.324,23.926,0.000
1763445347.773,-3.906,-11.719,-11.719,18.066,0.000
1763445347.777,-83.984,-11.230,-21.484,-11.719,0.000
1763445347.781,-61.523,-11.719,-20.020,-3.906,0.000
1763445347.785,-1.465,-16.602,-11.230,6.836,0.000
1763445347.789,36.133,-18.066,-5.859,8.301,0.000
1763445347.793,28.809,-19.531,-9.766,0.977,0.000
1763445347.796,-24.414,-17.090,-19.531,-14.160,0.000
1763445347.800,-63.477,-12.695,-23.926,-16.113,0.000
1763445347.804,-47.852,-12.207,-36.133,6.836,0.000
1763445347.808,-6.348,-12.207,-35.156,10.254,0.000
1763445347.812,-38.086,-13.672,-20.508,-3.906,0.000
1763445347.816,-11.719,-10.742,-13.672,-2.930,0.000
1763445347.820,69.824,-12.695,19.043,11.230,0.000
1763445347.824,40.527,-21.484,39.062,1.953,0.000
1763445347.828,4.883,-20.508,29.785,-4.395,0.000
1763445347.832,6.348,-17.090,17.090,0.977,0.000
1763445347.835,17.578,-25.391,12.207,5.371,0.000
1763445347.839,12.207,-28.809,5.371,0.000,0.000
1763445347.843,-1.953,-18.066,-4.395,-2.930,0.000
1763445347.847,-15.625,-9.766,-9.277,1.465,0.000
1763445347.851,-33.203,-13.672,-9.277,7.324,0.000
1763445347.855,21.484,-13.184,-11.230,4.883,0.000
1763445347.859,61.035,-9.766,-9.277,-5.859,0.000
1763445347.863,-10.742,-12.695,-9.277,-0.977,0.000
1763445347.867,-50.781,-12.695,-23.438,-10.742,0.000
1763445347.871,17.090,-17.578,-20.996,-12.207,0.000
1763445347.875,69.336,-17.090,-8.789,6.836,0.000
1763445347.878,35.156,-10.742,-10.254,11.230,0.000
1763445347.882,-43.945,-15.625,-9.277,3.418,0.000
1763445347.886,-21.484,-16.602,-14.648,-10.742,0.000
1763445347.890,-16.113,-14.648,-18.555,-17.090,0.000
1763445347.894,-30.762,-13.184,-25.391,-24.902,0.000
1763445347.898,33.203,-9.277,-20.020,-16.602,0.000
1763445347.902,29.297,-12.207,-6.348,3.906,0.000
1763445347.906,0.488,-13.672,-9.766,10.254,0.000
1763445347.910,18.066,-17.090,-15.137,0.000,0.000
1763445347.914,0.000,-10.742,-16.602,-3.906,0.000
1763445347.918,0.000,-3.906,-17.090,1.465,0.000
1763445347.921,0.000,-14.648,-15.137,-8.789,0.000
1763445347.925,0.000,-18.066,-8.301,-13.184,0.000
1763445347.929,0.000,-11.230,-17.090,-3.906,0.000
1763445347.933,0.000,-8.789,-20.508,12.207,0.000
1763445347.937,0.000,-16.113,-13.672,18.555,0.000
1763445347.941,0.000,-17.578,-7.812,5.371,0.000
1763445347.945,0.000,-10.254,-8.789,4.395,0.000
1763445347.949,0.000,-12.695,-11.719,1.465,0.000
1763445347.953,0.000,-13.184,-8.789,-0.488,0.000
1763445347.957,0.000,-6.348,-21.973,17.090,0.000
1763445347.960,42.969,-7.324,-29.785,15.625,0.000
1763445347.964,-8.789,-11.230,-20.508,-4.883,0.000
1763445347.968,-50.293,-14.648,-7.324,1.465,0.000
1763445347.972,17.090,-13.184,-10.254,0.488,0.000
1763445347.976,81.543,-14.160,-13.672,-0.977,0.000
1763445347.980,65.430,-13.184,-7.812,-1.953,0.000
1763445347.984,22.949,-9.277,-8.789,-2.930,0.000
1763445347.988,1.953,-10.254,-12.695,-2.930,0.000
1763445347.992,1.465,-7.324,-8.789,4.883,0.000
1763445347.996,-31.738,-12.207,-5.859,9.277,0.000
1763445347.999,-68.848,-17.090,-4.395,6.836,0.000
1763445348.003,-6.348,-13.672,-3.906,-1.465,0.000
1763445348.007,-39.062,-17.578,-19.043,-17.578,0.000
1763445348.011,-13.184,-19.043,-19.043,-7.324,0.000
1763445348.015,-3.418,-20.020,-5.371,-1.465,0.000
1763445348.019,13.672,-19.043,-11.719,0.977,0.000
1763445348.023,50.781,-13.184,-17.090,3.906,0.000
1763445348.027,55.176,-7.324,-13.672,4.883,0.000
1763445348.031,36.133,-2.930,-15.625,2.930,0.000
1763445348.035,18.066,-7.812,-13.672,-9.766,0.000
1763445348.039,2.930,-12.695,-8.301,-4.395,0.000
1763445348.042,-35.645,-11.719,-20.020,5.371,0.000
1763445348.046,-36.621,-9.766,-26.855,-6.836,0.000
1763445348.050,-10.742,-14.160,-19.043,-12.207,0.000
1763445348.054,-9.766,-17.578,-19.531,-13.672,0.000
1763445348.058,5.371,-11.719,-19.531,-9.277,0.000
1763445348.062,26.855,-9.766,-13.672,-4.395,0.000
1763445348.066,18.066,-15.625,-17.578,-7.812,0.000
1763445348.070,-71.777,-22.949,-15.137,-12.695,0.000
1763445348.074,-103.516,-19.531,-6.348,-26.367,0.000
1763445348.078,-3.418,-15.137,-15.625,-32.227,0.000
1763445348.082,73.242,-18.066,-24.902,-8.301,0.000
1763445348.085,54.688,-16.113,-15.625,1.953,0.000
1763445348.089,20.996,-5.859,-11.230,4.395,0.000
1763445348.093,-7.324,-3.906,-5.859,8.789,0.000
1763445348.097,-20.020,-2.441,0.488,2.441,0.000
1763445348.101,-31.738,-7.324,-1.465,-8.789,0.000
1763445348.105,-34.668,-13.672,-8.301,-7.812,0.000
1763445348.109,8.789,-14.160,-16.113,-10.254,0.000
1763445348.113,-8.789,-20.996,-22.461,-4.395,0.000
1763445348.117,-53.223,-18.555,-29.297,-11.719,0.000
1763445348.121,-8.789,-11.719,-21.484,-22.949,0.000
1763445348.125,37.109,-10.742,-7.812,-15.137,0.000
1763445348.128,27.832,-11.719,-16.113,0.488,0.000
1763445348.132,-19.043,-11.719,-24.414,-0.488,0.000
1763445348.136,-54.688,-8.301,-14.160,-23.926,0.000
1763445348.140,-25.391,-8.789,-14.648,-23.926,0.000
1763445348.144,-7.324,-17.578,-19.531,-14.648,0.000
1763445348.148,19.043,-15.137,-9.277,-1.465,0.000
1763445348.152,33.691,-8.301,-1.465,4.395,0.000
1763445348.156,-8.789,-8.789,-8.789,-8.301,0.000
1763445348.160,-23.438,-12.695,-23.438,-9.277,0.000
1763445348.164,7.812,-9.766,-28.320,-8.789,0.000
1763445348.167,2.930,-10.254,-11.719,-18.555,0.000
1763445348.171,-35.156,-20.508,2.441,-21.973,0.000
1763445348.175,-33.691,-27.344,4.395,-15.625,0.000
1763445348.179,-16.113,-23.926,4.883,-9.277,0.000
1763445348.183,-16.113,-15.137,4.883,-17.578,0.000
1763445348.187,-7.324,-16.113,2.930,-15.625,0.000
1763445348.191,-53.711,-17.090,-7.324,-27.832,0.000
1763445348.195,-62.012,-7.812,-20.508,-30.762,0.000
1763445348.199,29.785,-7.324,-23.926,-1.953,0.000
1763445348.203,44.922,-9.277,-22.949,-1.465,0.000
1763445348.207,33.691,-8.301,-24.902,-14.160,0.000
1763445348.210,22.461,-12.695,-3.906,-7.324,0.000
1763445348.214,-23.926,-17.090,9.766,-8.301,0.000
1763445348.218,-52.734,-18.555,3.418,-15.625,0.000
1763445348.222,-74.219,-19.531,3.906,-19.043,0.000
1763445348.226,-22.949,-22.461,-4.395,-14.160,0.000
1763445348.230,52.246,-20.508,-6.348,-0.488,0.000
1763445348.234,25.879,-13.184,-2.930,7.324,0.000
1763445348.238,-42.969,-9.766,-17.090,9.277,0.000
1763445348.242,-61.035,-12.695,-19.043,-16.602,0.000
1763445348.246,-34.668,-20.020,-5.371,-25.879,0.000
1763445348.250,0.488,-24.902,-7.812,-6.836,0.000
1763445348.253,1.953,-23.438,-11.719,-2.930,0.000
1763445348.257,-2.930,-14.160,-10.254,-18.555,0.000
1763445348.261,-16.602,-8.789,-10.254,-15.137,0.000
1763445348.265,-46.875,-19.043,-8.301,-8.301,0.000
1763445348.269,-5.859,-20.996,-15.625,-26.367,0.000
1763445348.273,37.109,-15.137,-21.973,-11.230,0.000
1763445348.277,32.715,-8.301,-18.555,8.789,0.000
1763445348.281,4.883,-6.836,-17.578,0.000,0.000
1763445348.285,-61.035,-7.812,-10.254,-6.836,0.000
1763445348.289,-47.363,-7.324,-8.789,-0.977,0.000
1763445348.293,30.273,-13.184,-15.137,0.977,0.000
1763445348.296,51.758,-19.043,-13.672,-1.465,0.000
1763445348.300,40.039,-14.648,-14.648,6.348,0.000
1763445348.304,7.812,-3.418,-17.090,3.418,0.000
1763445348.308,-51.270,-9.766,-10.254,1.465,0.000
1763445348.312,-73.242,-15.625,-9.766,4.395,0.000
1763445348.316,-10.254,-14.160,-17.578,-10.742,0.000
1763445348.320,21.973,-13.184,-32.715,-22.949,0.000
1763445348.324,5.371,-14.648,-32.227,-12.207,0.000
1763445348.328,8.301,-17.578,-18.555,0.000,0.000
1763445348.332,-1.953,-16.113,-13.672,-2.930,0.000
1763445348.336,-21.484,-12.695,-11.230,1.953,0.000
1763445348.339,-46.875,-14.648,-13.672,5.859,0.000
1763445348.343,-15.137,-17.578,-12.207,0.977,0.000
1763445348.347,66.406,-15.625,-2.930,-16.113,0.000
1763445348.351,75.684,-15.625,5.371,-14.648,0.000
1763445348.355,57.129,-14.160,6.348,-2.441,0.000
1763445348.359,23.926,-6.348,-2.930,5.859,0.000
1763445348.363,-32.715,-7.812,-15.137,4.395,0.000
1763445348.367,-35.645,-9.766,-12.695,6.836,0.000
1763445348.371,-20.020,-7.812,-11.230,2.441,0.000
1763445348.375,-21.973,-14.648,-10.254,-7.324,0.000
1763445348.378,21.484,-18.555,-11.230,-5.371,0.000
1763445348.382,30.762,-17.090,-11.230,-3.906,0.000
1763445348.386,-0.488,-14.648,-13.184,0.488,0.000
1763445348.390,-9.766,-10.742,-21.973,-11.230,0.000
1763445348.394,-25.391,-15.625,-24.414,-23.926,0.000
1763445348.398,-12.207,-17.578,-26.855,-29.785,0.000
1763445348.402,0.977,-12.695,-41.504,-22.461,0.000
1763445348.406,-38.086,-13.184,-41.016,-3.418,0.000
1763445348.410,-47.852,-13.672,-14.648,0.977,0.000
1763445348.414,-0.488,-14.160,3.418,6.836,0.000
1763445348.418,26.367,-14.648,6.836,3.418,0.000
1763445348.421,10.254,-14.648,20.020,2.930,0.000
1763445348.425,-26.367,-13.672,27.832,9.277,0.000
1763445348.429,0.000,-17.578,20.020,-3.418,0.000
1763445348.433,0.000,-15.137,7.812,-15.137,0.000
1763445348.437,0.000,-15.137,-10.742,-18.555,0.000
1763445348.441,0.000,-18.555,-17.090,-6.348,0.000
1763445348.445,0.000,-13.184,-18.555,-0.488,0.000
1763445348.449,0.000,-8.301,-16.602,-14.648,0.000
1763445348.453,0.000,-9.277,-7.324,-7.324,0.000
1763445348.457,0.000,-15.625,-7.812,-5.859,0.000
1763445348.460,0.000,-16.602,-8.301,-22.949,0.000
1763445348.464,0.000,-15.137,-8.789,-33.203,0.000
1763445348.468,0.000,-12.207,-25.391,-22.949,0.000
1763445348.472,0.000,-12.695,-27.344,2.930,0.000
1763445348.476,-14.648,-13.672,-12.207,1.953,0.000
1763445348.480,-2.930,-9.277,-14.160,-11.719,0.000
1763445348.484,-6.348,-10.254,-14.648,-11.719,0.000
1763445348.488,-39.551,-13.672,-8.789,2.930,0.000
1763445348.492,-44.922,-14.160,-15.625,-13.672,0.000
1763445348.496,-18.555,-19.531,-20.508,-38.086,0.000
1763445348.500,-17.578,-20.020,-28.320,-30.273,0.000
1763445348.503,-22.949,-11.719,-33.203,-7.324,0.000
1763445348.507,3.906,-14.648,-22.461,-1.465,0.000
1763445348.511,34.180,-20.020,-14.160,-7.812,0.000
1763445348.515,13.672,-12.207,-14.160,-21.973,0.000
1763445348.519,-19.043,-8.789,-7.812,-21.484,0.000
1763445348.523,-2.441,-16.602,3.418,-9.766,0.000
1763445348.527,-33.691,-15.137,-12.695,-15.625,0.000
1763445348.531,-81.055,-10.254,-27.832,-12.695,0.000
1763445348.535,-3.906,-14.648,-13.184,-2.441,0.000
1763445348.539,40.039,-12.207,-3.906,-16.113,0.000
1763445348.543,-8.789,-6.348,-6.348,-14.648,0.000
1763445348.546,-1.953,-8.301,-24.414,-1.953,0.000
1763445348.550,12.207,-15.137,-25.879,-1.953,0.000
1763445348.554,-11.230,-15.625,-10.254,-7.324,0.000
1763445348.558,-6.836,-12.695,-26.855,-17.090,0.000
1763445348.562,26.367,-8.301,-32.715,-8.789,0.000
1763445348.566,33.203,-14.648,1.953,2.441,0.000
1763445348.570,-0.977,-20.508,17.578,8.789,0.000
1763445348.574,-48.828,-12.207,13.184,-0.977,0.000
1763445348.578,-38.086,-5.371,18.555,-9.766,0.000
1763445348.582,-0.977,-13.184,13.672,-10.254,0.000
1763445348.585,6.836,-20.020,4.395,-10.742,0.000
1763445348.589,26.367,-22.461,-0.977,-9.277,0.000
1763445348.593,6.836,-25.879,-10.254,-16.113,0.000
1763445348.597,-52.734,-33.691,-14.648,-20.020,0.000
1763445348.601,-76.660,-35.645,-14.648,-24.902,0.000
1763445348.605,-30.762,-26.367,-7.812,-29.297,0.000
