timestamps,TP9,AF7,AF8,TP10,Right AUX
1763453831.549,-949.219,-37.598,-16.113,970.215,0.000
1763453831.553,-1000.000,-30.762,-20.508,973.145,0.000
1763453831.557,-122.070,-20.996,-22.461,958.984,0.000
1763453831.561,999.512,-16.113,-30.762,928.223,0.000
1763453831.565,999.512,-19.531,-31.250,999.512,0.000
1763453831.568,62.988,-30.762,-29.297,10.742,0.000
1763453831.572,-1000.000,-45.410,-29.785,-1000.000,0.000
1763453831.576,-969.727,-48.340,-25.879,-964.844,0.000
1763453831.580,-992.188,-38.086,-24.414,-984.863,0.000
1763453831.584,-957.031,-34.180,-22.949,-1000.000,0.000
1763453831.588,-1000.000,-30.273,-21.484,-1000.000,0.000
1763453831.592,-883.789,-23.438,-26.855,-1000.000,0.000
1763453831.596,471.680,-21.484,-29.785,-1000.000,0.000
1763453831.600,999.512,-20.508,-26.367,-1000.000,0.000
1763453831.604,906.738,-24.414,-27.832,-1000.000,0.000
1763453831.608,978.027,-24.414,-26.367,-1000.000,0.000
1763453831.611,969.727,-27.832,-20.508,-1000.000,0.000
1763453831.615,969.727,-25.391,-23.926,-1000.000,0.000
1763453831.619,969.727,-18.066,-23.438,-1000.000,0.000
1763453831.623,969.727,-26.855,-26.855,-1000.000,0.000
1763453831.627,969.727,-32.227,-30.762,-958.496,0.000
1763453831.631,969.727,-33.691,-31.738,-1000.000,0.000
1763453831.635,969.727,-28.320,-33.691,-906.738,0.000
1763453831.639,969.727,-18.555,-31.738,406.738,0.000
1763453831.643,969.238,-9.277,-21.973,999.512,0.000
1763453831.647,969.727,-7.324,-18.555,910.645,0.000
1763453831.651,969.727,-12.695,-20.996,975.098,0.000
1763453831.654,969.727,-11.230,-20.020,970.215,0.000
1763453831.658,969.727,-9.766,-22.461,970.215,0.000
1763453831.662,969.238,-13.672,-26.855,970.215,0.000
1763453831.666,969.238,-19.531,-22.949,970.215,0.000
1763453831.670,969.727,-33.203,-24.414,970.215,0.000
1763453831.674,978.516,-34.180,-30.273,977.051,0.000
1763453831.678,899.902,-31.738,-29.785,940.918,0.000
1763453831.682,999.512,-27.344,-24.414,963.867,0.000
1763453831.686,384.277,-20.020,-23.926,995.117,0.000
1763453831.690,-981.445,-46.875,-29.785,-245.605,0.000
1763453831.694,-1000.000,-63.477,-32.715,-1000.000,0.000
1763453831.698,-894.531,-48.828,-34.180,-887.207,0.000
1763453831.701,-1000.000,-36.621,-31.250,-1000.000,0.000
1763453831.705,-219.727,-14.160,-24.902,-166.016,0.000
1763453831.709,999.512,9.766,-20.996,999.512,0.000
1763453831.713,953.125,-5.371,-17.578,947.266,0.000
1763453831.717,942.383,-23.438,-15.625,946.777,0.000
1763453831.721,976.562,-18.066,-17.578,976.074,0.000
1763453831.725,969.727,-24.902,-24.902,970.215,0.000
1763453831.729,979.004,-29.785,-28.320,970.215,0.000
1763453831.733,923.828,-22.461,-29.297,970.215,0.000
1763453831.737,999.512,-21.484,-28.320,970.215,0.000
1763453831.741,822.266,-24.414,-22.461,970.215,0.000
1763453831.744,-504.395,-33.203,-18.066,970.215,0.000
1763453831.748,-1000.000,-33.691,-14.648,970.703,0.000
1763453831.752,-941.895,-21.973,-8.301,972.656,0.000
1763453831.756,-1000.000,-18.066,-8.301,905.762,0.000
1763453831.760,-1000.000,-12.207,-9.277,999.512,0.000
1763453831.764,-1000.000,-21.484,-11.230,225.586,0.000
1763453831.768,-1000.000,-40.039,-20.020,-1000.000,0.000
1763453831.772,-1000.000,-36.621,-23.926,-990.723,0.000
1763453831.776,-1000.000,-30.273,-18.555,-969.727,0.000
1763453831.779,-1000.000,-22.949,-16.602,-1000.000,0.000
1763453831.784,-1000.000,-18.555,-18.066,-1000.000,0.000
1763453831.788,-988.281,-15.625,-15.137,-1000.000,0.000
1763453831.791,-959.473,-18.066,-16.113,-1000.000,0.000
1763453831.795,-1000.000,-19.043,-18.066,-1000.000,0.000
1763453831.799,-30.273,-10.742,-17.578,-1000.000,0.000
1763453831.803,999.512,-5.371,-19.043,-1000.000,0.000
1763453831.807,933.105,-6.836,-19.531,-1000.000,0.000
1763453831.811,955.078,-22.461,-20.020,-1000.000,0.000
1763453831.815,979.980,-32.227,-25.879,-1000.000,0.000
1763453831.819,901.367,-21.484,-30.762,-1000.000,0.000
1763453831.823,999.512,-20.020,-28.320,-1000.000,0.000
1763453831.826,323.242,-23.438,-28.320,-1000.000,0.000
1763453831.830,0.000,-25.879,-28.320,-1000.000,0.000
1763453831.834,0.000,-26.367,-26.855,-1000.000,0.000
1763453831.838,0.000,-20.508,-24.414,-1000.000,0.000
1763453831.842,0.000,-21.973,-23.926,-1000.000,0.000
1763453831.846,0.000,-28.809,-28.320,-1000.000,0.000
1763453831.850,0.000,-13.184,-20.996,-1000.000,0.000
1763453831.854,0.000,-0.977,-14.160,-1000.000,0.000
1763453831.858,0.000,-9.277,-20.996,-1000.000,0.000
1763453831.862,0.000,-4.883,-21.973,-1000.000,0.000
1763453831.866,0.000,0.977,-19.531,-987.305,0.000
1763453831.869,0.000,-7.324,-25.391,-962.891,0.000
1763453831.873,0.000,-7.812,-31.738,-1000.000,0.000
1763453831.877,-1000.000,4.883,-27.832,-22.461,0.000
1763453831.881,-1000.000,2.441,-20.996,999.512,0.000
1763453831.885,-960.938,-8.301,-16.602,936.035,0.000
1763453831.889,-950.684,-8.301,-11.719,954.590,0.000
1763453831.893,-1000.000,-4.883,-10.254,974.121,0.000
1763453831.897,-189.941,-0.488,-11.719,976.562,0.000
1763453831.900,999.512,-6.836,-17.090,901.367,0.000
1763453831.904,949.219,-16.602,-21.484,999.512,0.000
1763453831.908,944.824,-32.227,-17.090,304.688,0.000
1763453831.912,975.586,-54.199,-20.996,-1000.000,0.000
1763453831.916,969.727,-44.434,-23.438,-1000.000,0.000
1763453831.920,969.727,-34.180,-19.531,-961.426,0.000
1763453831.924,-943.359,-30.762,-19.531,-952.148,0.000
1763453831.928,-1000.000,-32.227,-19.043,-1000.000,0.000
1763453831.932,-219.727,-9.277,-17.578,-171.387,0.000
1763453831.936,999.512,7.324,-21.973,999.512,0.000
1763453831.939,953.125,-5.859,-23.926,947.754,0.000
1763453831.943,942.383,-2.930,-22.949,946.289,0.000
1763453831.947,976.074,-8.789,-23.438,976.074,0.000
1763453831.951,969.727,-14.160,-21.973,970.215,0.000
1763453831.955,979.980,-17.578,-21.973,973.145,0.000
1763453831.959,924.316,-23.438,-22.461,956.543,0.000
1763453831.963,999.512,-17.578,-21.484,931.152,0.000
1763453831.967,863.281,-12.695,-18.555,999.512,0.000
1763453831.971,-475.098,-34.668,-13.184,-33.203,0.000
1763453831.975,-1000.000,-48.828,-15.625,-1000.000,0.000
1763453831.979,-938.477,-32.227,-21.484,-957.031,0.000
1763453831.982,-1000.000,-27.832,-20.996,-988.770,0.000
1763453831.986,-1000.000,-26.367,-18.555,-1000.000,0.000
1763453831.990,-978.027,-10.254,-15.625,-996.582,0.000
1763453831.994,-979.980,-12.695,-18.066,-944.336,0.000
1763453831.998,-1000.000,-34.180,-23.926,-1000.000,0.000
1763453832.002,122.559,-13.184,-22.949,-145.996,0.000
1763453832.006,999.512,5.859,-22.949,999.512,0.000
1763453832.010,919.434,-0.977,-21.973,944.336,0.000
1763453832.014,963.867,-3.906,-20.508,948.242,0.000
1763453832.018,971.191,-10.742,-25.391,975.098,0.000
1763453832.022,969.727,-8.301,-24.902,970.215,0.000
1763453832.026,969.727,-12.207,-21.973,970.215,0.000
1763453832.029,969.727,-22.461,-20.508,970.215,0.000
1763453832.033,976.562,-28.320,-18.066,973.145,0.000
