timestamps,TP9,AF7,AF8,TP10,Right AUX
1761113641.211,53.711,-7.812,5.859,91.797,0.000
1761113641.215,-136.719,-0.977,1.465,-118.652,0.000
1761113641.219,-126.953,-1.953,-5.371,-159.180,0.000
1761113641.222,-12.695,-12.695,-4.395,-54.688,0.000
1761113641.226,94.727,-14.160,4.395,58.594,0.000
1761113641.230,76.172,-10.742,2.441,62.988,0.000
1761113641.234,-152.832,-25.391,-7.324,-135.742,0.000
1761113641.238,-158.203,-46.387,-5.859,-181.641,0.000
1761113641.242,23.926,-45.898,-3.418,-26.367,0.000
1761113641.246,42.480,-44.434,-6.836,62.012,0.000
1761113641.250,13.672,-25.879,-13.184,71.777,0.000
1761113641.254,-105.957,-16.602,-10.254,-41.504,0.000
1761113641.258,0.000,-37.598,-1.465,-98.633,0.000
1761113641.262,0.000,-45.410,-2.441,-31.738,0.000
1761113641.265,0.000,-31.738,-10.254,72.754,0.000
1761113641.269,0.000,-24.414,-13.672,89.355,0.000
1761113641.273,0.000,-22.949,-17.578,-32.227,0.000
1761113641.277,0.000,-8.789,-16.113,-127.441,0.000
1761113641.281,0.000,-12.207,-16.602,-117.676,0.000
1761113641.285,0.000,-19.043,-24.414,-14.160,0.000
1761113641.289,0.000,-22.949,-23.438,25.879,0.000
1761113641.293,0.000,-36.621,-17.578,-88.379,0.000
1761113641.297,0.000,-43.457,-5.371,-192.383,0.000
1761113641.300,0.000,-46.387,-5.859,-150.879,0.000
1761113641.304,125.977,-48.340,-9.277,46.387,0.000
1761113641.308,98.633,-45.410,-3.906,76.172,0.000
1761113641.312,-92.773,-37.598,-7.324,-110.840,0.000
1761113641.316,-142.090,-32.227,-6.836,-204.102,0.000
1761113641.320,-91.309,-26.367,-2.441,-175.293,0.000
1761113641.324,65.430,-21.484,10.742,5.371,0.000
1761113641.328,64.941,-13.184,2.930,44.434,0.000
1761113641.332,-60.059,-11.230,-10.254,-82.520,0.000
1761113641.336,-152.344,-19.043,-8.789,-185.059,0.000
1761113641.340,-81.055,-17.578,-14.160,-132.324,0.000
1761113641.343,38.574,-24.414,-18.555,-12.695,0.000
1761113641.347,38.574,-35.156,-20.996,9.277,0.000
1761113641.351,0.000,-38.574,-16.113,-8.301,0.000
1761113641.355,0.000,-35.156,-9.766,-165.527,0.000
1761113641.359,0.000,-27.344,-13.672,-207.031,0.000
1761113641.363,0.000,-25.879,-14.160,-40.527,0.000
1761113641.367,0.000,-32.227,-16.602,-8.301,0.000
1761113641.371,0.000,-36.133,-20.996,-62.012,0.000
1761113641.375,0.000,-30.273,-17.578,-175.781,0.000
1761113641.379,0.000,-25.879,-17.578,-206.543,0.000
1761113641.383,0.000,-15.137,-15.625,-84.473,0.000
1761113641.386,0.000,-11.719,-14.160,-15.625,0.000
1761113641.390,0.000,-23.438,-20.508,-49.805,0.000
1761113641.394,0.000,-29.785,-22.461,-169.922,0.000
1761113641.398,-102.051,-39.551,-10.254,-173.340,0.000
1761113641.402,-44.434,-49.316,-6.348,-103.027,0.000
1761113641.406,12.695,-45.898,-2.441,-19.043,0.000
1761113641.410,-15.137,-34.180,-1.465,-22.461,0.000
1761113641.414,-115.234,-21.973,-4.395,-135.254,0.000
1761113641.418,-109.375,-20.996,-4.395,-158.203,0.000
1761113641.422,-33.203,-27.344,-1.953,-75.684,0.000
1761113641.425,23.438,-42.969,3.418,1.465,0.000
1761113641.429,8.301,-43.945,-0.488,9.766,0.000
1761113641.433,-116.699,-40.527,-2.441,-126.953,0.000
1761113641.437,-139.160,-50.293,-3.418,-188.477,0.000
1761113641.441,-33.691,-45.410,-1.953,-106.445,0.000
1761113641.445,20.020,-53.711,-2.930,-29.785,0.000
1761113641.449,32.227,-57.129,2.930,-2.930,0.000
1761113641.453,-43.945,-51.270,6.836,-86.426,0.000
1761113641.457,-145.996,-55.664,2.441,-210.449,0.000
1761113641.461,-87.891,-55.664,-2.441,-184.082,0.000
1761113641.465,67.871,-50.293,2.441,-17.090,0.000
1761113641.468,16.602,-56.152,5.859,-27.832,0.000
1761113641.472,-104.004,-64.453,-9.277,-146.973,0.000
1761113641.476,-121.582,-45.898,-25.879,-191.406,0.000
1761113641.480,-112.305,-23.438,-27.832,-196.289,0.000
1761113641.484,5.371,-16.113,-29.785,-79.590,0.000
1761113641.488,9.766,-2.930,-29.785,-42.969,0.000
1761113641.492,-80.078,3.418,-37.109,-116.699,0.000
1761113641.496,-98.145,13.184,-42.480,-178.711,0.000
1761113641.500,-97.656,17.578,-41.016,-197.754,0.000
1761113641.504,8.789,12.695,-44.922,-81.543,0.000
1761113641.507,41.992,12.695,-53.223,-34.668,0.000
1761113641.511,5.371,12.207,-59.082,-58.594,0.000
1761113641.515,-115.234,14.160,-64.453,-182.617,0.000
1761113641.519,-159.668,6.348,-65.918,-247.070,0.000
1761113641.523,11.230,8.301,-61.523,-83.984,0.000
1761113641.527,54.688,28.809,-64.453,-12.695,0.000
1761113641.531,-34.180,44.434,-72.266,-87.891,0.000
1761113641.535,-104.492,45.898,-73.242,-180.176,0.000
1761113641.539,0.000,38.574,-68.359,-187.988,0.000
1761113641.543,0.000,11.719,-70.312,-128.906,0.000
1761113641.546,0.000,6.836,-63.965,-37.598,0.000
1761113641.550,0.000,20.508,-58.105,-68.359,0.000
1761113641.554,0.000,8.301,-62.012,-194.336,0.000
1761113641.558,0.000,-9.766,-57.617,-176.270,0.000
1761113641.562,0.000,-29.785,-53.223,-142.090,0.000
1761113641.566,0.000,-40.527,-48.828,-50.293,0.000
1761113641.570,0.000,-41.504,-44.434,-65.430,0.000
1761113641.574,0.000,-34.668,-37.109,-195.312,0.000
1761113641.578,0.000,-33.203,-36.133,-205.566,0.000
1761113641.581,0.000,-44.922,-39.551,-118.164,0.000
1761113641.586,140.137,-42.969,-32.715,0.977,0.000
1761113641.589,55.176,-28.809,-33.691,-49.805,0.000
1761113641.593,-90.820,-32.715,-37.598,-187.988,0.000
1761113641.597,-123.047,-42.969,-42.480,-220.703,0.000
1761113641.601,-0.488,-46.875,-34.180,-110.840,0.000
1761113641.605,136.230,-44.922,-31.250,34.180,0.000
1761113641.609,30.762,-43.945,-33.203,-20.996,0.000
1761113641.613,-99.121,-42.480,-38.574,-141.602,0.000
1761113641.617,-98.633,-39.551,-52.246,-171.387,0.000
1761113641.621,-26.367,-42.969,-46.387,-126.953,0.000
1761113641.624,94.238,-50.293,-31.738,-5.859,0.000
1761113641.628,64.453,-51.758,-23.926,-13.184,0.000
1761113641.632,-27.832,-47.363,-25.879,-133.301,0.000
1761113641.636,-45.410,-37.598,-36.621,-192.383,0.000
1761113641.640,-7.812,-24.902,-29.785,-168.945,0.000
1761113641.644,-8.789,-34.668,-17.090,-109.863,0.000
1761113641.648,24.414,-44.434,-20.508,-27.344,0.000
1761113641.652,-47.852,-41.504,-21.973,-84.473,0.000
1761113641.656,-138.184,-42.969,-17.578,-199.219,0.000
1761113641.660,-84.473,-41.016,-14.648,-187.012,0.000
1761113641.664,28.320,-50.293,-20.996,-73.730,0.000
1761113641.667,30.273,-59.082,-28.320,-59.082,0.000
1761113641.671,-36.133,-51.270,-24.414,-113.770,0.000
1761113641.675,-78.125,-45.898,-20.508,-163.086,0.000
1761113641.679,0.000,-54.199,-17.578,-155.273,0.000
1761113641.683,0.000,-70.801,-22.949,-15.625,0.000
1761113641.687,0.000,-70.801,-30.762,48.340,0.000
1761113641.691,0.000,-73.242,-31.250,-16.602,0.000
1761113641.695,0.000,-72.266,-27.344,-71.777,0.000
1761113641.699,0.000,-70.801,-22.461,-32.227,0.000
1761113641.703,0.000,-83.984,-25.391,25.391,0.000
1761113641.707,0.000,-86.914,-19.043,87.891,0.000
1761113641.710,0.000,-79.590,-18.555,27.344,0.000
1761113641.714,0.000,-69.824,-17.090,-97.168,0.000
1761113641.718,0.000,-59.570,-7.812,-67.383,0.000
1761113641.722,0.000,-52.734,-7.812,-4.883,0.000
1761113641.726,84.961,-50.293,-13.672,9.766,0.000
1761113641.730,5.371,-64.453,-20.508,-59.082,0.000
1761113641.734,-60.059,-64.453,-30.273,-135.742,0.000
1761113641.738,2.441,-45.410,-42.480,-110.840,0.000
1761113641.742,50.293,-34.180,-33.691,-58.594,0.000
1761113641.746,70.312,-47.852,-14.648,-0.977,0.000
1761113641.750,-1.953,-60.059,-15.625,-30.273,0.000
1761113641.753,-58.105,-56.152,-28.809,-105.469,0.000
1761113641.757,-27.832,-65.918,-31.738,-126.465,0.000
1761113641.761,45.898,-68.359,-27.344,-60.547,0.000
1761113641.765,122.070,-58.594,-31.250,38.086,0.000
1761113641.769,31.250,-60.059,-33.203,-7.324,0.000
1761113641.773,0.000,-50.781,-25.879,-82.031,0.000
1761113641.777,0.000,-46.387,-24.414,-135.254,0.000
1761113641.781,0.000,-62.500,-29.785,-68.359,0.000
1761113641.785,0.000,-58.105,-31.738,89.844,0.000
1761113641.789,0.000,-58.105,-28.809,40.527,0.000
1761113641.792,0.000,-70.312,-27.832,-59.082,0.000
1761113641.796,0.000,-75.195,-26.367,-101.562,0.000
1761113641.800,0.000,-79.102,-23.926,-86.426,0.000
1761113641.804,0.000,-79.102,-20.508,37.109,0.000
1761113641.808,0.000,-71.289,-16.602,62.012,0.000
1761113641.812,0.000,-61.523,-16.602,-43.457,0.000
1761113641.816,0.000,-61.523,-20.508,-126.953,0.000
1761113641.820,36.621,-62.500,-23.926,-59.082,0.000
1761113641.824,109.375,-66.895,-31.738,26.367,0.000
1761113641.828,52.246,-67.871,-30.273,8.789,0.000
1761113641.832,-12.695,-55.664,-30.273,-62.988,0.000
1761113641.835,-55.664,-51.758,-33.691,-115.234,0.000
1761113641.839,9.766,-54.199,-27.832,-65.918,0.000
1761113641.843,81.055,-54.199,-35.156,10.742,0.000
1761113641.847,74.219,-60.547,-39.062,27.832,0.000
1761113641.851,-21.973,-48.828,-33.203,-40.039,0.000
1761113641.855,-112.305,-47.852,-36.621,-131.348,0.000
1761113641.859,-9.277,-61.035,-33.203,-59.570,0.000
1761113641.863,71.777,-49.316,-30.762,21.973,0.000
1761113641.867,80.566,-47.363,-31.250,53.223,0.000
1761113641.871,-29.297,-63.965,-33.691,-20.020,0.000
1761113641.875,-102.051,-67.871,-36.621,-82.520,0.000
1761113641.879,-12.207,-70.312,-34.668,-26.367,0.000
1761113641.882,55.664,-79.590,-39.062,27.344,0.000
1761113641.886,99.609,-76.172,-40.527,97.656,0.000
1761113641.890,13.672,-79.102,-36.621,52.734,0.000
1761113641.894,-137.207,-86.426,-35.156,-96.191,0.000
1761113641.898,-70.312,-77.148,-37.598,-66.895,0.000
1761113641.902,43.457,-71.289,-41.504,52.734,0.000
1761113641.906,65.918,-72.754,-29.785,104.980,0.000
1761113641.910,6.348,-73.242,-23.926,59.082,0.000
1761113641.914,-87.891,-68.359,-30.762,-57.617,0.000
1761113641.918,-27.832,-68.359,-37.598,-36.621,0.000
1761113641.921,54.199,-76.660,-19.531,45.898,0.000
1761113641.925,36.621,-79.590,-3.418,65.430,0.000
1761113641.929,-7.324,-91.797,-3.418,45.410,0.000
1761113641.933,-70.312,-111.816,7.324,-12.207,0.000
1761113641.937,-112.793,-123.047,15.137,-62.500,0.000
1761113641.941,-55.664,-130.859,20.020,-18.066,0.000
1761113641.945,62.988,-135.742,33.203,98.145,0.000
1761113641.949,2.930,-134.277,26.367,75.195,0.000
1761113641.953,-149.902,-132.812,9.277,-33.691,0.000
1761113641.956,-101.562,-119.141,26.855,-7.324,0.000
1761113641.961,-24.902,-104.004,49.316,49.316,0.000
1761113641.964,48.340,-104.980,56.152,136.719,0.000
1761113641.968,26.367,-102.539,53.711,123.535,0.000
1761113641.972,-96.680,-105.469,51.270,7.812,0.000
1761113641.976,-119.629,-108.887,52.246,-32.227,0.000
1761113641.980,-25.391,-107.910,37.598,22.949,0.000
1761113641.984,62.012,-105.957,29.785,109.863,0.000
1761113641.988,45.410,-100.098,30.273,110.840,0.000
1761113641.992,-39.551,-96.680,29.297,34.668,0.000
1761113641.996,-127.930,-96.191,20.020,-78.613,0.000
1761113641.999,-96.191,-92.285,8.301,-95.703,0.000
1761113642.003,78.125,-74.219,9.766,57.617,0.000
1761113642.007,65.430,-68.848,16.602,70.801,0.000
1761113642.011,-111.816,-83.984,12.695,-52.246,0.000
1761113642.015,-132.812,-93.262,4.395,-66.895,0.000
1761113642.019,-83.008,-86.426,2.441,-44.922,0.000
1761113642.023,8.301,-76.660,2.441,43.457,0.000
1761113642.027,34.668,-75.195,-0.977,82.520,0.000
1761113642.031,-145.508,-86.426,-5.371,-57.129,0.000
1761113642.035,-213.379,-84.961,-8.301,-137.695,0.000
1761113642.039,-108.887,-82.520,-17.090,-83.496,0.000
1761113642.042,10.742,-81.055,-22.949,27.832,0.000
