timestamps,TP9,AF7,AF8,TP10,Right AUX
1761113995.284,13.184,8.301,-19.531,2.441,0.000
1761113995.288,-9.766,5.859,-20.508,-29.785,0.000
1761113995.292,9.766,0.488,-18.066,2.930,0.000
1761113995.296,34.668,-7.324,-18.555,17.090,0.000
1761113995.300,37.109,-3.418,-20.508,8.789,0.000
1761113995.304,14.160,0.977,-17.578,11.719,0.000
1761113995.307,-21.973,-3.418,-20.020,-31.738,0.000
1761113995.311,-20.020,-3.418,-21.973,-40.527,0.000
1761113995.315,41.992,0.977,-19.043,44.434,0.000
1761113995.319,50.781,-2.441,-14.648,57.129,0.000
1761113995.323,11.230,-2.441,-12.695,12.207,0.000
1761113995.327,-15.137,0.977,-16.602,-16.113,0.000
1761113995.331,-2.930,1.953,-14.160,-8.789,0.000
1761113995.335,50.293,2.930,-11.230,23.438,0.000
1761113995.339,59.570,0.488,-17.090,0.488,0.000
1761113995.343,29.297,0.000,-16.602,-10.254,0.000
1761113995.347,1.953,2.441,-15.137,-13.184,0.000
1761113995.350,9.766,0.000,-16.113,-2.930,0.000
1761113995.354,40.527,-7.324,-15.137,39.062,0.000
1761113995.358,33.691,-5.859,-15.625,28.809,0.000
1761113995.362,11.719,-1.953,-16.113,3.418,0.000
1761113995.366,-10.742,-2.930,-20.996,-5.371,0.000
1761113995.370,-28.809,-2.441,-17.090,-21.484,0.000
1761113995.374,7.324,-0.488,-20.996,-5.371,0.000
1761113995.378,0.000,1.953,-19.043,55.176,0.000
1761113995.382,0.000,5.371,-9.766,50.781,0.000
1761113995.386,0.000,1.953,-12.695,-8.789,0.000
1761113995.390,0.000,-0.488,-15.625,0.977,0.000
1761113995.393,0.000,-0.977,-17.578,34.668,0.000
1761113995.397,0.000,-2.930,-17.578,47.363,0.000
1761113995.401,0.000,-4.883,-15.137,18.555,0.000
1761113995.405,0.000,-6.348,-14.160,-20.996,0.000
1761113995.409,0.000,-10.254,-12.695,5.859,0.000
1761113995.413,0.000,-12.207,-11.230,-5.859,0.000
1761113995.417,0.000,-7.812,-13.184,4.883,0.000
1761113995.421,0.000,-3.418,-12.207,18.555,0.000
1761113995.425,-6.348,-6.348,-11.230,-34.180,0.000
1761113995.429,16.602,-12.695,-20.996,-29.785,0.000
1761113995.432,54.199,-8.301,-22.949,-3.906,0.000
1761113995.436,20.020,-0.488,-19.043,-21.484,0.000
1761113995.440,22.461,-1.953,-21.973,-3.418,0.000
1761113995.444,14.648,-2.930,-20.996,-2.930,0.000
1761113995.448,-15.137,-0.488,-30.273,-50.781,0.000
1761113995.452,0.977,2.930,-40.527,-41.992,0.000
1761113995.456,33.691,6.836,-36.133,17.578,0.000
1761113995.460,45.898,9.277,-34.668,24.902,0.000
1761113995.464,41.016,13.184,-34.180,27.832,0.000
1761113995.468,11.719,16.602,-32.227,15.137,0.000
1761113995.472,-2.441,17.578,-32.227,-24.902,0.000
1761113995.475,62.988,20.020,-28.320,27.344,0.000
1761113995.479,81.543,24.902,-23.926,62.012,0.000
1761113995.483,26.855,20.508,-24.902,7.324,0.000
1761113995.487,3.418,11.230,-31.738,-20.996,0.000
1761113995.491,23.926,11.230,-36.133,1.465,0.000
1761113995.495,41.016,12.207,-36.133,6.836,0.000
1761113995.499,40.527,12.695,-33.691,-3.906,0.000
1761113995.503,13.672,10.742,-32.227,-26.367,0.000
1761113995.507,-18.066,8.789,-29.297,-64.453,0.000
1761113995.511,-7.324,11.230,-18.555,-45.898,0.000
1761113995.514,32.715,9.766,-17.578,-14.648,0.000
1761113995.518,60.547,9.766,-20.996,-4.883,0.000
1761113995.522,35.645,12.207,-21.973,-15.625,0.000
1761113995.526,-2.441,12.207,-20.020,-61.523,0.000
1761113995.530,-1.465,12.207,-21.484,-78.125,0.000
1761113995.534,40.527,9.277,-24.414,-27.344,0.000
1761113995.538,71.777,7.812,-17.578,23.438,0.000
1761113995.542,38.574,10.742,-11.230,-9.277,0.000
1761113995.546,-12.207,8.301,-14.648,-44.434,0.000
1761113995.550,-17.578,2.441,-20.508,-37.109,0.000
1761113995.554,22.949,3.906,-13.184,9.277,0.000
1761113995.557,45.898,5.371,-6.348,32.227,0.000
1761113995.561,27.344,1.465,-9.277,-3.418,0.000
1761113995.565,0.000,1.465,-13.184,-14.160,0.000
1761113995.569,0.000,3.906,-15.137,-15.137,0.000
1761113995.573,0.000,1.953,-13.184,-1.465,0.000
1761113995.577,0.000,-0.488,-12.695,31.250,0.000
1761113995.581,0.000,0.000,-15.625,31.738,0.000
1761113995.585,0.000,1.465,-16.602,-3.906,0.000
1761113995.589,0.000,-5.859,-17.090,-25.879,0.000
1761113995.593,0.000,-10.254,-16.602,-8.301,0.000
1761113995.597,0.000,-7.324,-11.719,77.148,0.000
1761113995.600,0.000,-5.859,-14.160,64.941,0.000
1761113995.604,0.000,-10.742,-11.719,11.230,0.000
1761113995.608,0.000,-16.602,-11.230,34.180,0.000
1761113995.612,5.371,-12.207,-15.137,36.133,0.000
1761113995.616,35.156,-9.766,-11.719,54.199,0.000
1761113995.620,50.293,-13.184,-8.789,89.844,0.000
1761113995.624,2.441,-13.672,-11.719,41.016,0.000
1761113995.628,-18.066,-10.742,-11.719,5.859,0.000
1761113995.632,28.809,-7.812,-10.742,65.918,0.000
1761113995.636,37.598,-9.277,-14.648,69.824,0.000
1761113995.639,7.812,-15.137,-15.137,18.555,0.000
1761113995.643,-2.930,-16.602,-14.160,15.137,0.000
1761113995.647,-19.531,-13.672,-16.602,5.371,0.000
1761113995.651,-24.414,-13.184,-16.113,-13.184,0.000
1761113995.655,20.996,-12.207,-17.578,17.090,0.000
1761113995.659,0.000,-9.277,0.000,12.695,0.000
1761113995.663,0.000,-11.230,0.000,-17.578,0.000
1761113995.667,0.000,-9.766,0.000,-35.645,0.000
1761113995.671,0.000,-4.883,0.000,-33.691,0.000
1761113995.675,0.000,-0.488,0.000,22.461,0.000
1761113995.679,0.000,2.930,0.000,46.387,0.000
1761113995.682,0.000,-4.395,0.000,-8.301,0.000
1761113995.686,0.000,-11.230,0.000,-31.738,0.000
1761113995.690,0.000,-3.906,0.000,8.789,0.000
1761113995.694,0.000,2.441,0.000,47.363,0.000
1761113995.698,0.000,5.371,0.000,56.641,0.000
1761113995.702,0.000,4.395,0.000,30.762,0.000
1761113995.706,-11.230,3.906,-15.625,12.207,0.000
1761113995.710,-0.488,0.977,-19.043,16.113,0.000
1761113995.714,40.527,-1.953,-18.555,64.941,0.000
1761113995.718,41.504,0.488,-14.160,63.965,0.000
1761113995.722,15.625,1.953,-13.184,37.109,0.000
1761113995.725,-2.930,3.906,-12.695,41.016,0.000
1761113995.729,-22.949,-0.977,-13.672,20.020,0.000
1761113995.733,1.953,-3.418,-14.160,22.461,0.000
1761113995.737,34.668,1.953,-10.742,69.336,0.000
1761113995.741,22.949,-0.488,-9.277,74.707,0.000
1761113995.745,-15.137,0.000,-7.324,31.738,0.000
1761113995.749,-17.090,4.883,-12.695,28.320,0.000
1761113995.753,14.648,4.395,-14.160,52.246,0.000
1761113995.757,41.016,1.953,-12.207,69.336,0.000
1761113995.761,42.969,1.465,-12.695,70.801,0.000
1761113995.764,5.371,1.465,-5.371,41.504,0.000
1761113995.768,-62.012,-3.418,7.812,-25.391,0.000
1761113995.772,-20.508,-6.836,9.277,23.438,0.000
1761113995.776,21.973,-10.742,10.742,53.223,0.000
1761113995.780,-20.996,-17.578,13.672,-3.906,0.000
1761113995.784,-42.969,-18.555,19.043,-21.484,0.000
1761113995.788,-80.566,-26.855,26.855,-65.430,0.000
1761113995.792,-65.430,-30.762,22.461,-47.852,0.000
1761113995.796,-20.508,-25.879,15.625,-6.836,0.000
1761113995.800,-21.484,-25.391,11.719,-4.883,0.000
1761113995.804,-65.430,-24.902,7.324,-47.852,0.000
1761113995.807,-68.359,-26.367,9.277,-40.527,0.000
1761113995.811,-36.133,-24.414,8.789,-19.043,0.000
1761113995.815,-17.578,-19.043,6.348,-26.367,0.000
1761113995.819,13.184,-19.043,8.301,21.973,0.000
1761113995.823,-33.691,-21.484,6.348,-24.902,0.000
1761113995.827,-76.172,-24.902,3.418,-93.750,0.000
1761113995.831,-33.203,-19.531,0.977,-48.828,0.000
1761113995.835,20.020,-11.230,0.977,8.301,0.000
1761113995.839,24.414,-12.695,0.000,6.348,0.000
1761113995.843,-19.531,-18.555,-4.883,-32.227,0.000
1761113995.847,-72.266,-19.531,-4.883,-76.172,0.000
1761113995.850,-60.059,-21.484,-6.348,-64.941,0.000
1761113995.854,-1.465,-20.020,-7.324,-23.926,0.000
1761113995.858,17.578,-12.207,-6.836,-13.184,0.000
1761113995.862,-13.184,-12.695,-7.812,-29.297,0.000
1761113995.866,-47.363,-14.648,-10.742,-75.195,0.000
1761113995.870,-11.719,-8.789,-15.137,-16.602,0.000
1761113995.874,0.000,-11.719,-13.184,-4.883,0.000
1761113995.878,12.207,-15.137,-8.789,-17.090,0.000
1761113995.882,10.254,-12.207,-9.766,-5.859,0.000
1761113995.886,-37.109,-14.160,-7.812,-54.688,0.000
1761113995.889,-31.250,-9.277,-4.883,-66.895,0.000
1761113995.893,-3.906,-4.883,-11.719,-44.434,0.000
1761113995.897,24.414,-5.371,-11.230,-5.371,0.000
1761113995.901,9.766,-5.859,-6.348,-15.137,0.000
1761113995.905,-19.531,-8.789,-5.859,-48.828,0.000
1761113995.909,-16.113,-12.207,-9.277,-38.086,0.000
1761113995.913,24.902,-9.766,-6.348,26.855,0.000
1761113995.917,21.973,-6.836,-4.395,7.324,0.000
1761113995.921,-6.836,-9.766,-13.184,-35.156,0.000
1761113995.925,-16.113,-10.254,-16.602,-35.645,0.000
1761113995.929,-46.387,-13.184,-17.090,-72.754,0.000
1761113995.932,-17.090,-10.254,-16.113,-41.504,0.000
1761113995.936,20.508,-9.766,-10.742,-1.465,0.000
1761113995.940,2.441,-14.648,-8.789,-15.625,0.000
1761113995.944,-26.367,-15.137,-8.301,-31.738,0.000
1761113995.948,-23.926,-12.207,-11.719,-27.832,0.000
1761113995.952,-7.324,-7.812,-14.160,-22.461,0.000
1761113995.956,25.879,-3.418,-12.695,1.953,0.000
1761113995.960,19.043,-0.488,-14.648,-11.230,0.000
1761113995.964,-22.461,-4.395,-12.695,-55.176,0.000
1761113995.968,-46.387,-10.254,-9.766,-62.012,0.000
1761113995.971,-31.250,-7.812,-12.695,-53.711,0.000
1761113995.975,17.090,-5.859,-11.719,-9.277,0.000
1761113995.979,22.949,-5.371,-10.742,21.973,0.000
1761113995.983,-25.879,-3.418,-14.160,-44.434,0.000
1761113995.987,-34.668,-1.953,-9.766,-50.781,0.000
1761113995.991,-5.859,-5.371,-3.906,19.531,0.000
1761113995.995,13.672,-4.883,-4.883,41.016,0.000
1761113995.999,17.578,-6.348,-3.418,36.621,0.000
1761113996.003,-22.461,-7.812,-2.930,-6.348,0.000
1761113996.007,-42.969,0.000,-5.371,-26.367,0.000
1761113996.011,-33.691,-3.418,-12.695,-18.066,0.000
1761113996.014,-1.465,-6.836,-18.555,-4.883,0.000
1761113996.018,19.043,-4.395,-16.602,9.766,0.000
1761113996.022,11.230,-7.324,-18.555,1.465,0.000
1761113996.026,-24.414,-3.906,-13.672,-28.809,0.000
1761113996.030,-49.805,-6.836,-10.254,-54.688,0.000
1761113996.034,-5.371,-2.930,0.000,1.465,0.000
1761113996.038,-3.418,1.465,0.000,33.691,0.000
1761113996.042,-38.574,-2.930,0.000,-24.414,0.000
1761113996.046,-64.941,0.488,0.000,-59.570,0.000
1761113996.050,-62.500,-0.488,0.000,-54.688,0.000
1761113996.054,-11.230,-0.977,0.000,-3.906,0.000
1761113996.057,-18.555,0.000,0.000,-20.020,0.000
1761113996.061,-50.293,-0.488,0.000,-59.570,0.000
1761113996.065,-57.129,-3.906,0.000,-50.781,0.000
1761113996.069,-31.738,-4.395,0.000,-1.953,0.000
1761113996.073,5.371,4.395,0.000,61.523,0.000
1761113996.077,14.648,3.906,0.000,62.012,0.000
1761113996.081,0.488,1.953,-21.484,38.086,0.000
1761113996.085,-42.969,0.977,-24.902,16.113,0.000
1761113996.089,-29.297,3.418,-27.344,19.043,0.000
1761113996.093,8.789,4.883,-31.250,35.156,0.000
1761113996.096,33.203,6.836,-28.320,77.148,0.000
1761113996.100,18.066,6.348,-26.367,62.500,0.000
1761113996.104,-39.551,1.465,-29.785,-19.043,0.000
1761113996.108,-32.227,2.930,-27.344,-20.020,0.000
1761113996.112,5.371,3.906,-26.367,21.484,0.000
1761113996.116,-6.348,0.488,-25.879,-5.371,0.000
1761113996.120,-10.742,-2.441,-26.367,2.930,0.000
1761113996.124,-18.066,-4.883,-25.391,23.926,0.000
1761113996.128,-43.945,-6.348,-20.020,-9.766,0.000
1761113996.132,-39.551,-7.812,-23.926,-39.551,0.000
1761113996.136,17.090,-6.348,-25.391,10.742,0.000
1761113996.139,3.418,-3.418,-27.344,-0.977,0.000
1761113996.143,-41.992,-7.812,-27.832,-61.523,0.000
1761113996.147,-48.828,-9.277,-23.926,-81.055,0.000
1761113996.151,-25.391,-4.883,-22.949,-76.172,0.000
1761113996.155,21.973,-2.441,-20.508,-28.320,0.000
1761113996.159,8.301,-6.348,-15.625,-36.621,0.000
1761113996.163,-20.996,-10.254,-14.648,-46.387,0.000
1761113996.167,-26.855,-6.836,-13.184,-46.387,0.000
1761113996.171,-12.695,-8.301,-12.207,-43.457,0.000
1761113996.175,24.902,-10.742,-11.719,-15.625,0.000
1761113996.179,36.133,-6.348,-9.277,14.160,0.000
